상권_코드_명,1분기 covid 영향력,2분기 covid 영향력,3분기 covid 영향력,4분기 covid 영향력,상권_평균_점포수(scaling),상권_평균_점포수,segment
연서로11길,-0.1381000000000001,-0.08950000000000002,-0.12100000000000011,-0.11649999999999994,-0.4768,43.0,10
연서로3길,-0.1252000000000001,-0.04389999999999994,-0.009699999999999931,-0.07350000000000001,-0.3585,48.0,10
연서로5길,-0.05069999999999997,-0.07900000000000007,-0.17379999999999995,-0.17620000000000002,-0.0834,62.0,14
연희로10길,-0.2734,-0.3581,-0.15599999999999992,-0.1634,-0.4043,46.0,0
영천시장,-0.008599999999999941,-0.0794999999999999,-0.17300000000000004,-0.18400000000000005,-0.1551,58.0,14
오류동역,-0.25149999999999995,-0.3344999999999999,-0.2519000000000001,-0.20950000000000002,1.2127,207.0,17
오류로8길,-0.2976000000000001,-0.2651999999999999,-0.24290000000000012,-0.33020000000000005,0.5808,115.0,16
오류시장,0.0674999999999999,0.006599999999999939,-0.01200000000000001,-0.1624,-0.6678,36.0,10
오패산로19길,-0.0043000000000001926,-0.03720000000000012,-0.1278999999999999,-0.28979999999999995,-0.3812,47.0,10
오패산로3길,0.010800000000000032,-0.018900000000000028,-0.013499999999999956,-0.06019999999999992,-0.1551,58.0,14
오패산로4길,-0.20379999999999998,-0.19089999999999996,-0.2562,-0.28,0.8807,152.0,1
옥인길,0.09139999999999993,0.10719999999999996,0.034599999999999964,-0.1854999999999999,-0.4279,45.0,10
와우산로29가길,-0.13280000000000003,-0.1724000000000001,-0.06580000000000008,-0.13419999999999999,-0.0162,66.0,9
와우산로29길,-0.17059999999999986,-0.18669999999999998,-0.20019999999999993,-0.3358,0.4623,103.0,16
와우산로3길,-0.023800000000000043,-0.04080000000000006,0.03709999999999991,-0.11950000000000005,-0.1551,58.0,14
왕산로43길,-0.42310000000000014,-0.4202,-0.33999999999999997,-0.12329999999999985,0.364,94.0,16
왕십리로14길,0.07269999999999999,0.16280000000000006,0.3143,0.33030000000000004,0.0,67.0,18
용답29길,-0.13230000000000008,-0.055300000000000016,-0.028100000000000014,-0.1301,0.7126,130.0,13
용답중앙길,-0.5873,-0.6542999999999999,-0.34060000000000007,-0.5207999999999999,-1.2473,21.0,6
용마산로100길,-0.007399999999999962,-0.07460000000000011,0.007000000000000006,0.036900000000000044,-0.3812,47.0,10
용마산로94길,-0.1592,-0.17830000000000001,-0.12209999999999999,-0.3398,0.0922,73.0,9
우이시장,-0.3418,-0.3005,-0.30310000000000015,-0.29799999999999993,-0.1009,61.0,24
우이천로32길,-0.123,-0.08819999999999995,-0.042200000000000015,-0.01539999999999997,-0.1928,56.0,14
원효로89길,-0.5371,-0.5705,-0.2503000000000001,-0.3446,0.2808,87.0,24
유영시장,-0.38849999999999985,-0.4435,-0.29559999999999986,-0.1402,-3.3393,3.0,11
은평로3길,-0.12970000000000015,-0.09199999999999997,-0.09029999999999994,-0.19030000000000002,0.0,67.0,9
은평로8길,-0.33130000000000004,-0.2664000000000001,-0.22610000000000008,-0.25529999999999986,-0.4768,43.0,0
응암로12길,-0.1983999999999999,-0.14939999999999998,-0.14589999999999992,-0.1523000000000001,-0.0492,64.0,9
응암로14길,-0.6093000000000001,-0.27090000000000003,-0.23299999999999987,-0.08389999999999986,-0.1551,58.0,24
이경시장,0.11430000000000007,0.0006999999999999229,-0.02980000000000005,0.06689999999999996,-2.045,10.0,4
이문로42길,-0.15589999999999993,-0.19410000000000005,-0.16449999999999998,-0.2733000000000001,-1.0177,26.0,12
이문제일시장,0.039000000000000146,0.037699999999999845,0.22420000000000007,0.021099999999999897,-1.8489,12.0,4
